Sigla;Nome;Prerequisitos
MAT01117;GeometriaAnalíticaeVetores;
MAT01101;CálculoDiferencialeIntegralI;
INF01106;ProgramaçãoI;
MAT01104;LógicaMatemática;
INF01105;OrganizaçãodeComputadores;
INF01101;IntroduçãoàCiênciadaComputação;
LEL04102;InglêsInstrumentalI;
MAT01203;CálculoDiferencialeIntegralII;MAT01101
MAT01212;ÁlgebraLinear;MAT01117
FIS01202;FísicaGeralI;MAT01101
FIS01204;LaboratóriodeFísicaGeralI;
INF01209;ProgramaçãoII;INF01106
INF01207;EstruturasDiscretas;MAT01104
INF01104;LógicaDigital;INF01105
LEL04206;InglêsInstrumentalII;LEL04102
MAT01105;CálculoDiferencialeIntegralIII;MAT01203
MAT01106;MétodoMatemático;MAT01203
FIS01103;FísicaGeralII;FIS01202
FIS01109;LaboratóriodeFísicaGeralII;
INF01114;EstruturadeDadosI;INF01209
INF01113;ParadigmasdeLinguagensdeProgramação;INF01209
INF01112;ArquiteturadeComputadores;INF01104
MAT01208;CálculoNumérico; MAT01106,  MAT01212 
MAT01201;EstatísticaEProbabilidades;MAT01105
INF01202;EstruturadeDadosII;INF01114
INF01204;SistemaOperacional;INF01112
INF01203;ProgramaçãoOrientadaaObjetos;INF01114
INF01201;AnáliseeProjetodeSistemas; INF01101,  INF01209 
MAT01107;ProcessosEstocásticos;MAT01201
INF01115;RedesdeComputadores;INF01204
INF01116;BancodeDadosI;INF01202
INF01117;LinguagensFormaiseTeoriadaComputação; INF01207,  INF01113 
LES04514;MetodologiadoTrabalhoCientíﬁco;
INF01119;EngenhariadeSoftware;INF01201
INF01124;IntroduçãoàComputaçãoGráﬁca; MAT01208,  MAT01107,  FIS01103 
INF01212;Compiladores;INF01117
INF01206;BancodeDadosII;INF01116
INF01205;InteligênciaArtiﬁcial;INF01202
INF01210;ParadigmaOOparaDesenvolvimentodeSoftware; INF01203,  INF01119 
INF01211;PesquisaOperacional;MAT01208
INF01121;TestedeSoftware;INF01210
INF01123;InterfaceHomem-Máquina;INF01205
LES04536;ComputaçãoeSociedade;
INF01122;SistemasDistribuídos;INF01115
PRO01540;Empreendedorismo;INF01211
INF01130;ProjetodeMonograﬁa; PRO01540,  INF01124,  INF01122,  INF01212,  INF01206,  INF01123,  INF01121 
INF01131;Monograﬁa;INF01130
INF01127;EstagioSupervisionado;INF01130
INF01220;FundamentosdeProcessamentodeImagens;
INF01213;PadrõesdeSoftware;
INF01134;ComputaçãoMóvel;
INF01135;GerênciadeRedesdeComputadores;
INF01216;EngenhariadeSoftwareApoiadaporComputador;
INF01217;PlanejamentodeNegóciosemInformática;
INF01118;Hipermídia/Multimídia;
PRO01332;IntroduçãoàEconomia;
PRO01333;SistemadeInformação;
PAR45117;Libras;
LEL04202;PortuguêsInstrumentalII;
LEL04101;PortuguêsInstrumentalI;
LEL04506;InglêsInstrumentalIII;
LEL04507;InglêsInstrumentalIV;
